Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,17709
design__instance__area,283121
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,20
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.006860632915049791
power__switching__total,0.002093349350616336
power__leakage__total,0.000009844386113400105
power__total,0.00896382611244917
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.27425426594882607
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.3055856487682797
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.14299706268286067
timing__setup__ws__corner:nom_fast_1p32V_m40C,10.88494303278966
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.142997
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.874462
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,20
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2875368635687965
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.3808135858883544
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6895770816210456
timing__setup__ws__corner:nom_slow_1p08V_125C,9.819579205477751
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.689577
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,14.480265
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,20
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2790585341791605
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.3351894134902537
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3472876529096337
timing__setup__ws__corner:nom_typ_1p20V_25C,10.491394716603908
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.347288
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,16.962780
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,20
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27425426594882607
clock__skew__worst_setup,0.3055856487682797
timing__hold__ws,0.14299706268286067
timing__setup__ws,9.819579205477751
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.142997
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,14.480265
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1289.28 313.74
design__core__bbox,2.88 3.78 1286.4 309.96
design__io,45
design__die__area,404499
design__core__area,392988
design__instance__count__stdcell,17709
design__instance__area__stdcell,283121
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.720431
design__instance__utilization__stdcell,0.720431
design__rows,81
design__rows:CoreSite,81
design__sites,216594
design__sites:CoreSite,216594
design__instance__count__class:buffer,8
design__instance__area__class:buffer,108.864
design__instance__count__class:inverter,110
design__instance__area__class:inverter,635.04
design__instance__count__class:sequential_cell,2558
design__instance__area__class:sequential_cell,120672
design__instance__count__class:multi_input_combinational_cell,9772
design__instance__area__class:multi_input_combinational_cell,93701.1
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,4377
design__instance__area__class:timing_repair_buffer,61760.4
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,531435
design__violations,0
design__instance__count__class:clock_buffer,393
design__instance__area__class:clock_buffer,3565.3
design__instance__count__class:clock_inverter,1
design__instance__area__class:clock_inverter,10.8864
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2432
antenna__violating__nets,20
antenna__violating__pins,23
route__antenna_violation__count,20
antenna_diodes_count,490
design__instance__count__class:antenna_cell,490
design__instance__area__class:antenna_cell,2667.17
route__net,19778
route__net__special,2
route__drc_errors__iter:0,12618
route__wirelength__iter:0,613018
route__drc_errors__iter:1,6165
route__wirelength__iter:1,607555
route__drc_errors__iter:2,5670
route__wirelength__iter:2,606713
route__drc_errors__iter:3,575
route__wirelength__iter:3,603247
route__drc_errors__iter:4,87
route__wirelength__iter:4,603102
route__drc_errors__iter:5,16
route__wirelength__iter:5,603029
route__drc_errors__iter:6,6
route__wirelength__iter:6,603012
route__drc_errors__iter:7,0
route__wirelength__iter:7,603019
route__drc_errors,0
route__wirelength,603019
route__vias,112983
route__vias__singlecut,112983
route__vias__multicut,0
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,1387.51
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,2564
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,2564
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,2564
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,2564
