Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,15694
design__instance__area,241821
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,15
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.006767740938812494
power__switching__total,0.0015905587933957577
power__leakage__total,0.000011603931852732785
power__total,0.00836990401148796
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2863835638581983
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.29150779837327895
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11666345997240651
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.328587610865487
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.116663
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,15
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.3447308924783387
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.36010126455516306
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6264626772429476
timing__setup__ws__corner:nom_slow_1p08V_125C,12.057339468129882
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.626463
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,12.057340
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,15
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.3101424482794263
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.3203657152462158
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3016854629280423
timing__setup__ws__corner:nom_typ_1p20V_25C,13.603783373721397
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.301685
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2863835638581983
clock__skew__worst_setup,0.29150779837327895
timing__hold__ws,0.11666345997240651
timing__setup__ws,12.057339468129882
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116663
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.057340
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1289.28 313.74
design__core__bbox,2.88 3.78 1286.4 309.96
design__io,45
design__die__area,404499
design__core__area,392988
design__instance__count__stdcell,15694
design__instance__area__stdcell,241821
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.61534
design__instance__utilization__stdcell,0.61534
design__rows,81
design__rows:CoreSite,81
design__sites,216594
design__sites:CoreSite,216594
design__instance__count__class:buffer,2
design__instance__area__class:buffer,29.0304
design__instance__count__class:inverter,80
design__instance__area__class:inverter,473.558
design__instance__count__class:sequential_cell,2106
design__instance__area__class:sequential_cell,99349.3
design__instance__count__class:multi_input_combinational_cell,9122
design__instance__area__class:multi_input_combinational_cell,83863.4
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,3655
design__instance__area__class:timing_repair_buffer,52706.5
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,411472
design__violations,0
design__instance__count__class:clock_buffer,393
design__instance__area__class:clock_buffer,3565.3
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,16.3296
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2126
antenna__violating__nets,32
antenna__violating__pins,32
route__antenna_violation__count,32
antenna_diodes_count,334
design__instance__count__class:antenna_cell,334
design__instance__area__class:antenna_cell,1818.03
route__net,17427
route__net__special,2
route__drc_errors__iter:0,10096
route__wirelength__iter:0,476141
route__drc_errors__iter:1,4664
route__wirelength__iter:1,472201
route__drc_errors__iter:2,4445
route__wirelength__iter:2,470826
route__drc_errors__iter:3,598
route__wirelength__iter:3,468225
route__drc_errors__iter:4,35
route__wirelength__iter:4,468123
route__drc_errors__iter:5,13
route__wirelength__iter:5,468124
route__drc_errors__iter:6,6
route__wirelength__iter:6,468129
route__drc_errors__iter:7,0
route__wirelength__iter:7,468124
route__drc_errors,0
route__wirelength,468124
route__vias,93987
route__vias__singlecut,93987
route__vias__multicut,0
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,1442.41
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,2158
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,2158
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,2158
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,2158
